"DisplayName","DisplayVersion","Publisher","InstallDate","EstimatedSizeKB","EstimatedSizeMB","InstallLocation"
"MarkAny Inc. e-PageSafer V2.5 NoAX ( iros )_2.5.1.21","v2.5","MarkAny Inc.",,,"",
"MarkAny Inc. e-PageSafer v2.5 NoaXOZ(Uninstall)","v2.5","MarkAny Inc.",,,"",
"Microsoft .NET Host - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","20231018","372","0.4",""
"Microsoft .NET Host - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","20260416","484","0.5",""
"Microsoft .NET Host - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","20251015","444","0.4",""
"Microsoft .NET Host FX Resolver - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","20231018","284","0.3",""
"Microsoft .NET Host FX Resolver - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","20260416","324","0.3",""
"Microsoft .NET Host FX Resolver - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","20251015","268","0.3",""
"Microsoft .NET Runtime - 6.0.20 (x86)","48.83.63169","Microsoft Corporation","20231018","63660","62.2",""
"Microsoft .NET Runtime - 8.0.14 (x64)","64.56.29490","Microsoft Corporation","20260416","71932","70.2",""
"Microsoft .NET Runtime - 8.0.16 (x86)","64.64.32758","Microsoft Corporation","20251015","66312","64.8",""
"Microsoft Access MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","12106","11.8","C:\Program Files\Microsoft Office\"
"Microsoft DCF MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","418","0.4","C:\Program Files\Microsoft Office\"
"Microsoft Edge","150.0.4078.83","Microsoft Corporation","20260719","2085567","2036.7","C:\Program Files (x86)\Microsoft\Edge\Application"
"Microsoft Edge WebView2 Runtime","150.0.4078.65","Microsoft Corporation","20260712","3441077","3360.4","C:\Program Files (x86)\Microsoft\EdgeWebView\Application"
"Microsoft Excel MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","27753","27.1","C:\Program Files\Microsoft Office\"
"Microsoft Groove MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","8790","8.6","C:\Program Files\Microsoft Office\"
"Microsoft InfoPath MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","2986","2.9","C:\Program Files\Microsoft Office\"
"Microsoft Office 32-bit Components 2016","16.0.4266.1001","Microsoft Corporation","20230323","148106","144.6","C:\Program Files\Microsoft Office\"
"Microsoft Office IME (Korean) 2007","12.0.4518.1014","Microsoft Corporation","20230419","940","0.9","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Office 64-bit Components 2007","12.0.4518.1014","Microsoft Corporation","20230419","12755","12.5","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office OSM MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","1534","1.5","C:\Program Files\Microsoft Office\"
"Microsoft Office OSM UX MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","8402","8.2","C:\Program Files\Microsoft Office\"
"Microsoft Office Professional Plus 2016","16.0.4266.1001","Microsoft Corporation",,,"","C:\Program Files\Microsoft Office"
"Microsoft Office Proof (English) 2007","12.0.4518.1014","Microsoft Corporation","20230419","42279","41.3","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Proof (Korean) 2007","12.0.4518.1014","Microsoft Corporation","20230419","24264","23.7","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Proofing (Korean) 2007","12.0.4518.1016","Microsoft Corporation","20230419","494","0.5","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Proofing (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","1370","1.3","C:\Program Files\Microsoft Office\"
"Microsoft Office Proofing Tools 2016 - English","16.0.4266.1001","Microsoft Corporation","20230323","21923","21.4","C:\Program Files\Microsoft Office\"
"Microsoft Office Shared 32-bit MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","15325","15","C:\Program Files\Microsoft Office\"
"Microsoft Office Shared 64-bit MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","20230419","504","0.5","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Shared MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","20230419","99899","97.6","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Shared MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","96500","94.2","C:\Program Files\Microsoft Office\"
"Microsoft Office Visio MUI (Korean) 2007","12.0.4518.1016","Microsoft Corporation","20230419","63892","62.4","C:\Program Files (x86)\Microsoft Office\"
"Microsoft Office Visio Professional 2007","12.0.4518.1014","Microsoft Corporation",,,"","C:\Program Files (x86)\Microsoft Office"
"Microsoft Office 언어 교정 도구 2016 - 한국어","16.0.4266.1001","Microsoft Corporation","20230323","25456","24.9","C:\Program Files\Microsoft Office\"
"Microsoft OneDrive","26.113.0614.0004","Microsoft Corporation",,"580139","566.5",
"Microsoft OneNote MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","12861","12.6","C:\Program Files\Microsoft Office\"
"Microsoft Outlook MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","15232","14.9","C:\Program Files\Microsoft Office\"
"Microsoft PowerPoint MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","23245","22.7","C:\Program Files\Microsoft Office\"
"Microsoft Publisher MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","10302","10.1","C:\Program Files\Microsoft Office\"
"Microsoft Skype for Business MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","5272","5.1","C:\Program Files\Microsoft Office\"
"Microsoft Teams Meeting Add-in for Microsoft Office","1.24.14501","Microsoft","20240722","31799","31.1",""
"Microsoft Teams VDI Citrix plugin","26.15.1.1","Microsoft","20260629","2532","2.5",""
"Microsoft Update Health Tools","5.72.0.0","Microsoft Corporation","20231104","1045","1",""
"Microsoft Visual C++ 2005 Redistributable","8.0.59193","Microsoft Corporation","20230823","5016","4.9",""
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20230324","13532","13.2",""
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729","9.0.30729","Microsoft Corporation","20230323","10532","10.3",""
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,"17800","17.4",
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230816","9900","9.7",""
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20230816","1772","1.7",""
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.21005","12.0.21005.1","Microsoft Corporation",,"17600","17.2",
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20251011","9456","9.2",""
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20251011","2076","2",""
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433","14.42.34433.0","Microsoft Corporation",,"21213","20.7",
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433","14.42.34433.0","Microsoft Corporation",,"18615","18.2",
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","20250528","11876","11.6",""
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","20250528","2380","2.3",""
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","20250528","10316","10.1",""
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.42.34433","14.42.34433","Microsoft Corporation","20250528","1996","1.9",""
"Microsoft Visual Studio Code (User)","1.129.1","Microsoft Corporation","20260719","943078","921","C:\Users\chang.JWS\AppData\Local\Programs\Microsoft VS Code\"
"Microsoft Windows Desktop Runtime - 6.0.20 (x86)","6.0.20.32621","Microsoft Corporation",,"199000","194.3",
"Microsoft Windows Desktop Runtime - 8.0.14 (x64)","8.0.14.34613","Microsoft Corporation",,"222226","217",
"Microsoft Windows Desktop Runtime - 8.0.16 (x86)","64.64.32786","Microsoft Corporation","20251015","86708","84.7",""
"Microsoft Word MUI (Korean) 2016","16.0.4266.1001","Microsoft Corporation","20230323","30152","29.4","C:\Program Files\Microsoft Office\"
"MTOP Client","25.7.2000.6","Citrix Systems, Inc.","20260713","33332","32.6",""
"Node.js","24.12.0","Node.js Foundation","20260104","105189","102.7",""
"Notepad++ (64-bit x64)","8.7.7","Notepad++ Team",,"17519","17.1",
"nProtect Online Security V1.0(PFS)","2023.8.21.1","INCA Internet Co., Ltd.",,,"",
"Online Plug-in","25.7.2000.6","Citrix Systems, Inc.","20260630","344343","336.3",""
"Oracle VM VirtualBox 7.0.18","7.0.18","Oracle and/or its affiliates","20240901","214661","209.6",""
"OZWebLauncher","80.23.0830.100","FORCS Co.,LTD.","20260503",,"","C:\Program Files (x86)\FORCS\OZWebLauncher"
"PortBook","1.0.7.65","Topstore","20250330","777","0.8","C:\Users\chang\AppData\Roaming\Purefind\"
"Postman Agent x86_64 0.4.31","0.4.31","Postman","20240826","98907","96.6","C:\Users\chang.JWS\AppData\Local\Postman-Agent"
"PowerToys (Preview)","0.83.0","Microsoft Corporation","20240826","1331330","1300.1","C:\Users\chang.JWS\AppData\Local\PowerToys\"
"PowerToys (Preview) x64","0.83.0","Microsoft Corporation",,"929128","907.4",
"RateCheck","1.0.0","RateCheck System",,,"",
"Realtek High Definition Audio Driver","6.0.9167.1","Realtek Semiconductor Corp.",,,"","C:\Program Files\Realtek\Audio\HDA"
"Rexpert30 Print Service 1,0,0,29 - 01","1,0,0,29 - 01","ClipSoft",,,"",
"RyzenMasterSDK","1.2.3.5","Advanced Micro Devices, Inc.","20210605","704","0.7",""
"SecuKit NX","1.0.0.8","한국정보인증(주)",,,"",
"Self-service Plug-in","25.7.2000.11","Citrix Systems, Inc.","20260713","106569","104.1",""
"SignKorea NA Certification Toolkit(인증 프로그램)","2.5.40.281","코스콤",,,"",
"SManager 2.0.1.1",,,"20260322","6681","6.5","C:\Program Files (x86)\SManager\"
"Smart Windows Favorite","2.5","Smart Windows Favorite, Inc.",,,"","C:\Users\chang.JWS\AppData\Roaming\winfavorites\"
"Termius 9.6.1","9.6.1","Termius Corporation",,"719726","702.9",
"TouchEn nxKey with E2E for 32bit","1.0.0.90","RaonSecure Co., Ltd.",,"16339","16",
"Tple Download",,"Tple Korea",,,"",
"TplePlayer 버전 1.5.1.3","1.5.1.3","iCoxs.co.kr","20260322","137830","134.6","C:\Users\chang.JWS\AppData\Roaming\TplePlayer\"
"TPLSvc","1.1.0.31","TOBESOFT Co., Ltd.","20230823","7835","7.7","C:\Program Files (x86)\TPLSvc\"
"Vagrant","2.4.1","HashiCorp","20240731","1041804","1017.4",""
"Veraport(보안모듈 관리 프로그램) G3 - 3,8,6,9 - x64","3,8,6,9","Wizvera","20260503","50464","49.3","C:\Program Files\Wizvera\Veraport20\"
"VestCert","2.5.30.95","㈜예티소프트",,,"",
"Windows Subsystem for Linux","2.2.4.0","Microsoft Corporation","20240731","471170","460.1",""
"WIZVERA Process Manager 1,0,6,1","1,0,6,1","WIZVERA","20260503","11304","11","C:\Program Files (x86)\Wizvera\Common\wpmsvc\"
"XPLATFORM 9.2 Engine","9.2.0.72","TOBESOFT Co,.Ltd",,,"","C:\Program Files (x86)\TOBESOFT\XPLATFORM\9.2"
"Zoom VDI Plugin Management(64bit)","6.6.26970","Zoom Communications, Inc.","20260629","83128","81.2",""
"곰플레이어","2.3.117.5387","GOM & Company",,,"","C:\Program Files (x86)\GOM\GOMPlayer"
"민원24 민원발급프로그램 5.0","5.0.0.3","SGA Solutions Co.,Ltd.","20250705","39224","38.3","C:\Program Files (x86)\SGA\ezCertForClient\"
"알PDF 4.10","4.10","ESTsoft Corp.","20260526","411000","401.4","C:\Program Files\ESTsoft\ALPDF\"
"알매니저","1.16","ESTsoft Corp.","20230815","41081","40.1","C:\Program Files (x86)\ESTsoft\ALToolsManager\"
"알씨 9.54","9.54","ESTsoft Corp.","20260516","348239","340.1","C:\Program Files (x86)\ESTsoft\ALSee\"
"알집 12.36","12.36","ESTsoft Corp.","20260611","38805","37.9","C:\Program Files (x86)\ESTsoft\ALZip\"
"알툴즈 업데이트","","ESTsoft Corp.",,,"","C:\Program Files (x86)\ESTsoft\ALUpdate"
"카카오톡","26.6.0.5208","Kakao Corp.",,,"",
"한컴오피스 2020 체험판","11.0.0.1","Hancom","20251011","1919136","1874.2","C:\Program Files (x86)\Hnc\Office 2020\"
"확장된 브라우저 컨트롤러",,"Gvix Co.,Ltd",,,"",
"휴대폰인증서(보관)서비스",,"INFovine",,,"",
